year,country,gdp_per_capita,social_support,health,freedom,trust,generosity,happiness_score_next_year
2017,Latvia,1.26074862480164,1.40471494197845,0.638566970825195,0.325707912445068,0.0738427266478539,0.153074786067009,5.933
2015,Lebanon,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,5.129
2016,Lebanon,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,5.22499990463257
2017,Lebanon,1.07498753070831,1.12962424755096,0.73508107662200906,0.288515985012054,0.037513829767704,0.264450758695602,5.358
2015,Lesotho,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,3.80800008773804
2017,Lesotho,0.521021246910095,1.19009518623352,0,0.390661299228668,0.119094640016556,0.157497271895409,3.808
2015,Liberia,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,3.622
2016,Liberia,0.10706,0.50353,0.23165,0.25748,0.04852,0.24063,3.53299999237061
2017,Liberia,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.0389482490718365,0.26654988527298,3.495
2015,Libya,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,5.615
2016,Libya,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,5.52500009536743
2017,Libya,1.10180306434631,1.35756433010101,0.520169019699097,0.465733230113983,0.0926102101802826,0.152073666453362,5.566
2015,Lithuania,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,5.813
2016,Lithuania,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,5.90199995040894
2017,Lithuania,1.31458234786987,1.47351610660553,0.62894994020462,0.234231784939766,0.0118656428530812,0.010164656676352,5.952
2015,Luxembourg,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,6.871
2016,Luxembourg,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,6.86299991607666
2017,Luxembourg,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.31883442401886,0.283180981874466,6.91
2015,Macedonia,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,5.121
2016,Macedonia,1.0193,0.78236000000000006,0.64738,0.27668,0.07047,0.23507,5.17500019073486
2017,Macedonia,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.0602777935564518,0.25376096367836,5.185
